Fluxo;Ano;Mês;Países;UF do Produto;Valor US$ FOB;Quilograma Líquido;Produto_Estrategico;Periodo_Guerra
0;2025;NOVEMBRO;RUSSIA;GOIAS;0.6302477202812813;0.3922750867355911;1;1
0;2025;AGOSTO;RUSSIA;SAO PAULO;0.6272133271204606;0.5924613133632697;1;1
0;2025;NOVEMBRO;RUSSIA;MINAS GERAIS;0.6230804103654592;0.6741886985900584;1;1
0;2025;FEVEREIRO;RUSSIA;PARA;0.621734556822118;0.9883288818071573;1;1
0;2025;MAIO;RUSSIA;PARANA;0.5823484456055159;0.4338895236438393;1;1
0;2025;AGOSTO;RUSSIA;SANTA CATARINA;0.5806720007906532;0.5390625077313579;1;1
0;2025;MARCO;RUSSIA;PARA;0.5789820588772183;0.8757237028038428;1;1
0;2025;AGOSTO;RUSSIA;GOIAS;0.5646491919155185;0.5391666696859904;1;1
0;2025;AGOSTO;RUSSIA;PARA;0.5599488711595019;0.5083638844894385;1;1
0;2025;FEVEREIRO;RUSSIA;SANTA CATARINA;0.5327788611596934;0.3113350820773546;1;1
0;2025;AGOSTO;RUSSIA;MATO GROSSO;0.5076544503850468;0.48836640550619714;1;1
0;2025;MAIO;RUSSIA;MINAS GERAIS;0.5053564378878855;0.5299173275673965;1;1
0;2025;MAIO;RUSSIA;MATO GROSSO;0.49137204147114055;0.6759577157862331;1;1
0;2025;DEZEMBRO;RUSSIA;RIO GRANDE DO SUL;0.47479637741552944;0.5109150142932415;1;1
0;2025;DEZEMBRO;RUSSIA;PARA;0.4708753826368109;0.4841286302588483;1;1
0;2025;SETEMBRO;RUSSIA;MATO GROSSO;0.46931322494232564;0.41027062084135024;1;1
0;2025;ABRIL;RUSSIA;SAO PAULO;0.46860576663274955;0.9904597121376991;1;1
0;2025;OUTUBRO;RUSSIA;PARANA;0.46673966128989836;0.4889792848691438;1;1
0;2025;JULHO;RUSSIA;SAO PAULO;0.4635545213138558;0.4762581170489036;1;1
0;2025;JANEIRO;RUSSIA;SAO PAULO;0.459747112507537;0.7780117078276249;1;1
0;2025;JULHO;RUSSIA;SAO PAULO;0.45221275162534913;0.47858787276751646;1;1
0;2025;AGOSTO;RUSSIA;MATO GROSSO;0.4450931197720158;0.5059342171028477;1;1
0;2025;MARCO;RUSSIA;SANTA CATARINA;0.41069900687018546;0.051533257295590815;1;1
0;2025;MAIO;RUSSIA;GOIAS;0.4013335980440352;0.43972456858860404;1;1
0;2025;OUTUBRO;RUSSIA;BAHIA;0.3996597825340891;0.37160187203746975;1;1
0;2025;JUNHO;RUSSIA;PARANA;0.37742778245476355;0.2418998850346589;1;1
0;2025;JANEIRO;RUSSIA;SANTA CATARINA;0.36583307363327405;0.1706849552843636;1;1
0;2025;ABRIL;RUSSIA;MATO GROSSO;0.36349562156236287;0.47993796734385324;1;1
0;2025;JANEIRO;RUSSIA;RIO GRANDE DO SUL;0.3473369652665341;0.6915639901602157;1;1
0;2025;JANEIRO;RUSSIA;SANTA CATARINA;0.3471592242541679;0.6876634841383837;1;1
0;2025;DEZEMBRO;RUSSIA;BAHIA;0.34540460143978313;0.1488947532807898;1;1
0;2025;FEVEREIRO;RUSSIA;RIO GRANDE DO SUL;0.3322407234440307;0.6589067031288597;1;1
0;2025;JULHO;RUSSIA;GOIAS;0.2960257292439157;0.24487700131499335;1;1
0;2025;JUNHO;RUSSIA;ESPIRITO SANTO;0.28334108589097323;0.3179168604830879;1;1
0;2025;DEZEMBRO;RUSSIA;PARANA;0.2624603732518167;0.5948755360462425;1;1
0;2025;AGOSTO;RUSSIA;MATO GROSSO;0.25549569510157194;-0.06038630856611121;1;1
0;2025;ABRIL;RUSSIA;MINAS GERAIS;0.2509468223087548;0.6669323817332914;1;1
0;2025;NOVEMBRO;RUSSIA;PARA;0.23826025079887347;0.18496352391593618;1;1
0;2025;AGOSTO;RUSSIA;SANTA CATARINA;0.2360565427047231;0.18331291611416548;1;1
0;2025;MARCO;RUSSIA;SANTA CATARINA;0.23263353827722003;0.37294891359099835;1;1
